SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,774318.5455483703,1141504.0508961617,875946.9584712278,717401.9738275978,255333.0788617651,594279.4405703003,620661.1834566819,694133.4045721049,670688.4502160883,640322.2733559075,530343.1113611645,873083.3645298373,1380495.6813854882,591881.7175787363,489581.8123607383,651296.0378327451,770533.0217437347,646262.4440800927,494061.5126500274,459206.49809145206,815327.7688280714,1108816.0828965758,1214694.4601952992,590420.1822734674
-0.75,764239.389197299,1043993.6894689163,831627.4287265268,750238.3375569265,272683.9377301475,628173.0634105585,662400.1320149023,690355.1469919907,699230.8370549516,637966.3542439712,544679.1920665331,887534.1702921734,1288738.8336563471,603785.0107814797,513474.22891509807,642722.0111400485,1068265.3654273658,673423.4228699424,492954.4324919085,473461.49470642844,832091.0994322319,1035292.1524204232,1165829.2590143392,635742.7347498031
-0.5,779905.504504453,1059426.2769754112,874313.8899285106,775760.7696954951,298544.40109569015,683216.3804006658,730760.1511912625,700804.1021497918,730327.8807433555,648840.1496664168,558264.0509824138,937737.6872719906,1244572.5597330586,643421.4417619787,566819.7012867142,661665.4981006925,903895.5914107453,669794.0492838044,506383.89533826616,518941.7371380185,876763.613647441,1052904.2163095293,1201928.416449081,683985.3738866602
-0.25,811747.9268854676,1028604.1346786778,927033.9887644161,798992.9287525379,323375.11013194645,768655.0329320296,818160.2343321533,738146.1966921308,747799.6188405923,664887.6577479858,581271.1954965745,1003680.6509684089,1215075.2552253224,696225.2296528112,638920.0486270288,675986.1070021174,946266.7316818653,716321.5582107992,503075.98607783427,571399.3515187231,948844.3631753181,1079643.3572671793,1247872.428924239,755242.9063894749
0.0,820172.6876618139,1026043.5352609317,951105.9360763015,849235.8857987144,356366.3709537775,879894.682007692,915918.3982334462,772252.9780840133,791418.4649585955,688562.2979030537,619561.0653391029,1023387.6436709292,1175319.1528340434,757248.9887724464,703244.6006076598,689110.305975504,1027607.4375430129,724251.9781843713,513862.8900274508,635299.4876854311,1022947.6606741024,1148288.89759801,1261814.5261202545,823476.7587779363
0.25,822707.4571828751,1025446.2856003483,983525.3114587123,883673.8944379669,374336.2937185814,976760.0623854453,1010466.2671146754,819533.1249867353,831390.071640869,733111.5752595338,634524.54123731,1074498.103633037,1154113.5112247756,811304.9576248906,771387.3231658736,713496.8409131856,1099670.7482708837,715682.5542780594,524710.9100867528,703315.1200892772,1082609.02076583,1202020.3752573223,1284575.9279617397,881801.5439761822
0.5,840269.5685783372,1039439.0925361554,1018339.8928671606,950226.8515505574,407296.575786717,1039322.7546086474,1066983.1455538508,859508.2664794037,857913.8500348203,787927.8916570977,663437.8200335503,1100577.8228784439,1155056.3200713142,867577.5849732666,827469.538295847,747417.8064189029,1187819.2689733,734701.1011268081,536582.5899996089,778716.4861066974,1142844.0159099193,1257935.3679049774,1310878.6045858678,949298.5597349983
0.75,877271.823906624,1065366.0011136294,1056642.5821540519,990647.9985826593,434099.4744805793,1106553.414273197,1174436.0284700447,897322.4421323737,895304.1132917277,829767.6832316825,684978.6692118816,1095402.1731431375,1178339.3476867964,922771.346946189,889219.712636413,778215.7957224719,1279456.853834416,770348.5526099746,593899.0693148808,848377.7106291616,1174766.986387605,1295267.1399414358,1323965.0319522873,992431.2938989437
1.0,901020.7882910912,1089957.9001834034,1085144.6865410118,1038159.0486489516,473171.40467211785,1159307.2138478486,1255033.6762911514,933754.835940809,924931.7714680596,870771.4596208171,709713.1215953574,1109661.6061337104,1195931.3531845808,969193.1000844475,956946.7850426526,812289.0687998966,1338441.6751870927,761729.0979949597,667246.1076053977,919896.4418261268,1233711.9955167284,1317427.665060354,1339175.3949378945,1020272.3961591684
1.25,965980.4475380454,1138415.554566892,1140670.4101422736,1081907.179181184,499997.15574959735,1228114.1008442587,1325790.370816471,969711.1942017638,943132.8668347652,901035.885023816,730703.0655808954,1115129.5401204247,1228212.3005104319,1008957.558889445,1002273.5548152887,819603.0944089312,1418781.1141876308,757997.8260813374,725816.2027104804,996730.7837527413,1281373.2870536032,1320504.3838228818,1350681.2537436918,1049596.3491429288
1.5,970064.8916982881,1177693.86860919,1157206.026224707,1122656.3585357124,533011.9223509097,1305979.8314223,1401236.3401839156,993123.401826174,970712.3638809775,931138.021236575,751390.6261077992,1127310.3211136695,1244227.568645759,1035758.1668108449,1042841.2803665309,850398.6391781172,1473390.0031185332,758410.7994154944,750556.4461830583,1094607.1455380484,1324660.3657529752,1306208.7854362077,1338931.9162059373,1070576.9480430647
1.75,997298.3972937808,1199764.0473361413,1188792.0997764305,1176728.3129232652,573061.2288834227,1401808.528252905,1469397.7045913392,1029940.8237271778,989198.1850650707,951440.821173415,769524.9825301893,1161997.435255094,1235054.391522841,1043272.6734097817,1079344.3530295726,870767.01051964,1501084.140836322,791561.6344190149,808962.9756731156,1099258.9663379553,1380961.5800889912,1301642.4174911182,1341618.1477533325,1095162.8896296024
2.0,1037141.1365665522,1283122.8376592835,1217067.1896972258,1228539.7048321348,631983.6988852024,1468669.0391048808,1519465.50908425,1056902.2132314155,1014542.0461352107,985978.3033186089,792486.0284819567,1186260.6060709772,1241944.1631412362,1060458.3656099169,1088800.7880380424,900660.0370915297,1523886.1078490452,823970.9494184544,855566.5263298027,1106724.7171366431,1437386.625623851,1309830.8227770366,1339569.4181772326,1108418.5685608496
2.25,1078666.7206346917,1344787.5569599508,1222937.7063826504,1250361.8880127524,691123.2611275685,1496200.4219695872,1539022.9009995135,1097061.5654655586,1047862.5510555542,1021274.7248509075,809708.6541760239,1209918.6624180404,1263830.3011654725,1096400.779786493,1121314.011599967,960692.1911101377,1570577.0392372608,845619.8051267393,888378.5243733833,1147131.854578421,1497948.7727347794,1294785.0246471637,1327795.566345381,1130157.2443507512
2.5,1105623.3861995973,1410024.910442237,1215619.5852745012,1262429.3880035768,750524.7429364513,1502515.4989912221,1521066.3798877723,1128685.6596494443,1084686.8473256177,1055510.809068676,824728.4096780148,1228228.4786168446,1260122.3339823594,1104109.881647865,1150101.584580696,987451.9499070753,1604509.6148351973,897028.7921329881,957146.806079561,1211110.1303804931,1540297.5107497699,1277181.9940837224,1320541.8561097854,1138105.154661493
2.75,1144547.4032832312,1454403.6396976986,1187447.4294678983,1297036.095612049,805899.6909305959,1484278.8339074561,1490832.0927458098,1165915.2146590985,1120849.1431032636,1076507.1998354306,842107.1832408182,1254551.587853439,1268973.1919298533,1138135.7522240407,1181547.9915944121,1026458.6987330986,1620345.3088687658,899287.8714452295,1001907.3553780589,1273449.8820318994,1569875.6199128085,1287418.41236082,1312900.610196352,1159394.479721947
3.0,1170922.093548558,1534262.1047983407,1191795.6842519478,1319035.4098820614,863797.7464887988,1464414.9613726211,1431049.3511727399,1174438.9173468242,1170761.7548492749,1092024.6467006856,869121.7413214229,1274952.7307530064,1249897.7142009735,1165044.8062057712,1210945.4104791917,1053894.4807324265,1600032.10113887,931985.2248771082,1037297.5967470516,1337033.6369439147,1607582.327354211,1293739.2162591508,1335292.4956784681,1194918.98997391
